Distance (m),Elevation (m)
10824.03724,280.8054504
10834.49857,288.7175598
10844.95991,286.8243408
10855.42124,286.1209717
10865.88257,285.7998962
10876.34391,285.7998962
10886.80524,286.4433594
10897.26657,285.3497009
10907.72791,291.0353699
10918.18924,291.6728821
10928.65057,291.6728821
10939.11191,292.1648865
10949.57324,293.5905457
10960.03457,294.4073486
10970.49591,294.0874939
10980.95724,300.3851013
10991.41857,305.0385742
11002.81263,307.0255737
11014.20668,309.9542542
11025.60074,312.161377
11036.9948,312.161377
11048.38885,304.5874939
11059.78291,307.3451538
11071.17697,305.5961914
11082.57102,303.1359253
11093.96508,303.1359253
11105.35913,296.3652344
11116.75319,296.5274658
11128.14725,295.8123779
11139.5413,296.1904907
11150.93536,296.0987854
11162.32941,296.0987854
11173.72347,296.3815613
11185.11753,294.4091492
11196.51158,294.8901367
11207.90564,294.3577576
11219.2997,293.760437
11230.69375,295.3758545
11242.08781,294.029541
11253.48186,294.6094971
11264.87592,294.5318298
11276.26998,294.0026855
11287.66403,295.7555237
11299.05809,295.7555237
11310.45214,289.3328552
11321.8462,289.7642517
11333.24026,287.9555054
11344.63431,286.894104
11356.02837,290.2363892
11367.42243,291.2332153
11378.81648,291.9217224
11390.21054,291.3067322
11401.60459,293.3871765
11412.99865,297.4614258
11424.39271,297.4614258
11435.78676,298.8082886
11447.18082,296.5415344
11458.57487,295.889801
11469.96893,298.2162781
11481.36299,295.8389282
11492.75704,295.8389282
11504.1511,295.0509644
11515.54516,293.037323
11526.93921,290.5763855
11538.33327,288.9133911
11549.72732,288.9133911
11561.12138,289.5197754
11571.55053,290.1531677
11581.97968,291.7771606
11592.40883,292.3521729
11602.83798,292.3521729
11613.26713,292.5000916
11623.69629,293.8205261
11634.12544,292.4002686
11644.55459,292.3997498
11654.98374,292.2885437
11665.41289,291.3360596
11675.84204,291.3360596
11686.27119,291.2571411
11696.70034,291.3703308
11707.12949,291.106781
11717.55864,290.7468872
11727.98779,291.1678162
11738.41695,291.1678162
11748.8461,292.1855774
11759.11504,292.1855774
11769.38399,287.0774231
11779.65294,277.3525696
11789.92189,294.1397705
11800.19083,293.5465393
11810.45978,293.5465393
11820.72873,295.8069763
11830.99768,296.3627319
11841.26662,296.6639404
11851.53557,296.6289978
11861.80452,296.6289978
11872.07347,296.0038452
11882.34241,296.334259
11892.61136,294.2498474
11902.88031,289.6278687
11913.14926,290.375061
11923.4182,290.375061
11933.68715,295.5691833
11943.9561,293.7330933
11954.22505,289.765686
11964.49399,291.6062927
11974.76294,291.6062927
11985.03189,288.7093811
11995.30084,284.8820496
12005.56978,298.6044617
12015.83873,287.9129639
12026.10768,287.9129639
12036.37663,296.4423828
12046.64557,295.0436707
12056.91452,289.46698
12067.18347,292.5700073
12077.45242,292.5700073
12087.72136,292.9805908
12097.99031,294.7329712
12108.25926,293.7659607
